1,1,1,1,1
2,1.5,1.25,1.1,1.05
4,2.25,1.5625,1.21,1.1025
8,3.375,1.9531,1.331,1.1576
,5.0625,2.4414,1.4641,1.2155
,7.5938,3.0518,1.6105,1.2763
,11.3906,3.8147,1.7716,1.3401
,17.0859,4.7684,1.9487,1.4071
,,5.9605,2.1436,1.4775
,,7.4506,2.3579,1.5513
,,9.3132,2.5937,1.6289
,,11.6415,2.8531,1.7103
,,14.5519,3.1384,1.7959
,,18.1899,3.4523,1.8856
,,,3.7975,1.9799
,,,4.1772,2.0789
,,,4.595,2.1829
,,,5.0545,2.292
,,,5.5599,2.4066
,,,6.1159,2.527
,,,6.7275,2.6533
,,,7.4002,2.786
,,,8.1403,2.9253
,,,8.9543,3.0715
,,,9.8497,3.2251
,,,10.8347,3.3864
,,,11.9182,3.5557
,,,13.11,3.7335
,,,14.421,3.9201
,,,15.8631,4.1161
,,,17.4494,4.3219
,,,19.1943,4.538
,,,,4.7649
,,,,5.0032
,,,,5.2533
,,,,5.516
,,,,5.7918
,,,,6.0814
,,,,6.3855
,,,,6.7048
,,,,7.04
,,,,7.392
,,,,7.7616
,,,,8.1497
,,,,8.5572
,,,,8.985
,,,,9.4343
,,,,9.906
,,,,10.4013
,,,,10.9213
,,,,11.4674
,,,,12.0408
,,,,12.6428
,,,,13.2749
,,,,13.9387
,,,,14.6356
,,,,15.3674
,,,,16.1358
,,,,16.9426
,,,,17.7897
,,,,18.6792
,,,,19.6131
